the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.39249932956733 37.793768814069175, -122.39540664815269 37.79668732383527)",THE EMBARCADERO,,12553201,MISSION ST,WASHINGTON ST,BIKE LANE,2004,2W,1354.62271651,,,,,,1,0,0,The Embarcadero,0.26,5,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,1354.62271651
"LINESTRING (-122.38810886049451 37.78169253856799, -122.38786301883603 37.78112792902864, -122.38759348285366 37.778436662592824, -122.39063928374655 37.77717306406802)",SAN FRANCISCO BAY TRAIL,,7832101,TOWNSEND ST,3RD ST,BIKE PATH,0,2W,2193.81711609,,,,,,1,0,0,San Francisco Bay Trail,0.42,5,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,2193.8171161
"LINESTRING (-122.38810886049451 37.78169253856799, -122.38805925008246 37.78213078582577, -122.38784929430786 37.78475719554499, -122.38762187686486 37.78709228684651, -122.38765364681511 37.78773590568766, -122.38775547789925 37.78829609805731, -122.38802252807453 37.78910296698026, -122.38833606146964 37.78965038534344, -122.3898880182251 37.79092172848343, -122.39021559496143 37.791198036953915, -122.39055112935083 37.79165932527053, -122.39093406374555 37.79251460546878, -122.39236539157207 37.793855787216934, -122.39526777442268 37.79676934898848, -122.39751656703908 37.799318018167234, -122.39899045878867 37.80097695669387, -122.4004471329882 37.80258259235494, -122.40127123529052 37.80351958906932, -122.40184422079953 37.80416178375123, -122.40331519120049 37.80528976239655, -122.4044928490653 37.80612889208019, -122.40563378011251 37.806760605523905, -122.40587987781208 37.806873055153, -122.40721300173833 37.80749827890026)",SAN FRANCISCO BAY TRAIL,,12554201,TOWNSEND ST,NORTH POINT ST,BIKE PATH,0,2W,11508.5324535,,,,,,1,0,0,San Francisco Bay Trail,2.18,885,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,11508.5324535
"LINESTRING (-122.4071940023174 37.80748569794566, -122.40739986010202 37.80761944549781, -122.40883192999777 37.808272889173104, -122.40899594199807 37.80825521138549, -122.409124426558 37.80834412138131, -122.4104703760983 37.80847298800405, -122.41238663838736 37.808762461394345, -122.41237937465826 37.808762476436584, -122.41239829883737 37.80884533147228, -122.41274359893086 37.80898558473529, -122.41513050107008 37.809059372631, -122.41531506343989 37.8091102526388, -122.41584583104746 37.8091031793531)",SAN FRANCISCO BAY TRAIL,,12562201,TOWNSEND ST,NORTH POINT ST,BIKE PATH,0,2W,2651.08073581,,,,,,1,0,0,San Francisco Bay Trail,0.5,20,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,2651.08073582
"LINESTRING (-122.50022095405429 37.71895555875471, -122.49985916200073 37.71877763647412, -122.499322323451 37.71800394416414, -122.49840086193421 37.71715946422648, -122.49740042432931 37.71673195400976, -122.49469522883918 37.71592466407741)",JOHN MUIR,DR,7553000,SKYLINE BLVD,LAKE MERCED BLVD,BIKE LANE,2012,2W,2016.12750275,,,BACK-IN ANGLE PARKING,,,1,0,0,John Muir Dr,0.38,5,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,2016.12750275
"LINESTRING (-122.41202407442191 37.781136160517924, -122.4116999300971 37.78117721867427)",MC ALLISTER,ST,8887000,JONES ST,MARKET ST,BIKE ROUTE,0,2W,94.86235693,,,,,,1,0,0,Mc Allister St,0.02,170,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,94.8623569242
"LINESTRING (-122.39073204504832 37.77898082903351, -122.39184052529674 37.77812569752371)",KING,ST,7832101,MID-BLOCK CROSSING,3RD ST,BIKE ROUTE,2004,2W,446.74643752,,,,,,1,0,0,King St,0.08,45,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,446.746437533
"LINESTRING (-122.40524238682003 37.74305120504624, -122.40482838651154 37.742816598496084)",OAKDALE,AVE,9799000,BAY SHORE BLVD,PATTERSON ST,BIKE LANE,2005,2W,147.06141753,,,,,,1,0,0,Oakdale Ave,0.03,45,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,147.061417524
"LINESTRING (-122.42248736380739 37.74801344980011, -122.42238353610271 37.747171915085666)",GUERRERO,ST,6589201,CESAR CHAVEZ ST,27TH ST,BIKE LANE,2005,2W,307.88617381,,,,,,1,0,0,Guerrero St,0.06,45,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,307.886173818
"LINESTRING (-122.42238353610271 37.747171915085666, -122.42231065500597 37.74637651993748)",GUERRERO,ST,6590201,27TH,DUNCAN ST,BIKE LANE,2005,2W,290.38442109,,,,,,1,0,0,Guerrero St,0.05,45,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,290.384421083
"LINESTRING (-122.4222182911447 37.74557881360752, -122.42220612891425 37.74550747206228, -122.42219913501664 37.74541703852577, -122.42220144595119 37.7453264523044, -122.42221304782548 37.745236318344, -122.42223386414281 37.74514723449839, -122.42226375473871 37.745059794250736, -122.42229101115949 37.744997713207006, -122.42266944527425 37.74394224109016)",SAN JOSE,AVE,11436101,29TH ST,28TH ST,BIKE LANE,2005,2W,614.69788454,,,,,,1,0,0,San Jose Ave,0.12,4,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,614.697884532
"LINESTRING (-122.42266944527425 37.74394224109016, -122.42330183790808 37.74229848125718)",SAN JOSE,AVE,11437101,30TH ST,29TH ST,BIKE LANE,2005,2W,625.83307037,,,,,,1,0,0,San Jose Ave,0.12,4,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,625.83307036
"LINESTRING (-122.44167819396618 37.77737328458246, -122.44186564089203 37.778299553650456)",BAKER,ST,2610000,MC ALLISTER ST,GOLDEN GATE AVE,BIKE LANE,2000,2W,341.59750492,,,,,,1,0,0,Baker St,0.06,75,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,341.597504913
"LINESTRING (-122.43212002725855 37.732938139385865, -122.432451857228 37.733137836122204, -122.4328201960005 37.73326997640981, -122.43297411597457 37.73331082636996)",BOSWORTH,ST,3025101,LYELL ST,ARLINGTON ST,BIKE LANE,2010,2W,284.20868798,,,,,,1,0,0,Bosworth St,0.05,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,284.208687979
"LINESTRING (-122.47510883248839 37.72569214596366, -122.47549442597699 37.72569240736743, -122.47581752036935 37.72549509050881)",BUCKINGHAM,WAY,3358000,20TH AVE,19TH AVE,BIKE ROUTE,2010,2W,229.38988129,,,,,,1,0,0,Buckingham Way,0.04,19,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,229.389881287
"LINESTRING (-122.39191151116681 37.774680362538206, -122.39184957144812 37.774622406496654, -122.39179248260737 37.77456139227023, -122.3917404850397 37.77449757555722, -122.39167250319817 37.77439718278551, -122.3916341355079 37.77432755078522)",4TH,ST,19980000,CHANNEL ST,CHANNEL ST,BIKE ROUTE,0,2W,152.1948361,,,,,,1,0,0,4th St,0.03,19,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,152.194836107
"LINESTRING (-122.48721699763354 37.73880502629679, -122.48828671140386 37.73875765651181)",VICENTE,ST,13256000,30TH AV,31ST AV,BIKE ROUTE,2006,2W,309.80145754,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,309.801457551
"LINESTRING (-122.48614076816415 37.73885267372368, -122.48721699763354 37.73880502629679)",VICENTE,ST,13255000,29TH AV,30TH AV,BIKE ROUTE,2006,2W,311.68805987,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,311.688059864
"LINESTRING (-122.50435919883766 37.73805086652468, -122.50542865876028 37.73800399397136)",VICENTE,ST,13273000,46TH AV,47TH AV,BIKE ROUTE,2006,2W,309.72127073,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,309.72127072
"LINESTRING (-122.50328834676478 37.73809779087074, -122.50435919883766 37.73805086652468)",VICENTE,ST,13272000,45TH AV,46TH AV,BIKE ROUTE,2006,2W,310.12406468,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,310.124064684
"LINESTRING (-122.50221539633469 37.738144796997005, -122.50328834676478 37.73809779087074)",VICENTE,ST,13271000,44TH AV,45TH AV,BIKE ROUTE,2006,2W,310.73135959,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,310.731359594
"LINESTRING (-122.50114162727729 37.73819182886402, -122.50221539633469 37.738144796997005)",VICENTE,ST,13270000,43RD AV,44TH AV,BIKE ROUTE,2006,2W,310.96803867,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,310.96803867
"LINESTRING (-122.50005777992575 37.73823929237243, -122.50114162727729 37.73819182886402)",VICENTE,ST,13269000,42ND AV,43RD AV,BIKE ROUTE,2006,2W,313.88635975,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,313.886359744
"LINESTRING (-122.49900135205884 37.73828554528752, -122.50005777992575 37.73823929237243)",VICENTE,ST,13268000,41ST AV,42ND AV,BIKE ROUTE,2006,2W,305.94518187,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,305.945181873
"LINESTRING (-122.49792820916416 37.73833252005742, -122.49900135205884 37.73828554528752)",VICENTE,ST,13267000,40TH AV,41ST AV,BIKE ROUTE,2006,2W,310.78551787,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,310.785517877
"LINESTRING (-122.49685477133826 37.73837949814086, -122.49792820916416 37.73833252005742)",VICENTE,ST,13266000,39TH AV,40TH AV,BIKE ROUTE,2006,2W,310.8705427,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,310.870542703
"LINESTRING (-122.49578916024048 37.73842612386178, -122.49685477133826 37.73837949814086)",VICENTE,ST,13265000,38TH AV,39TH AV,BIKE ROUTE,2006,2W,308.60351002,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,308.603510016
"LINESTRING (-122.49472054966158 37.73847287181471, -122.49578916024048 37.73842612386178)",VICENTE,ST,13264000,37TH AV,38TH AV,BIKE ROUTE,2006,2W,309.47179261,,,,,,1,0,0,Vicente St,0.06,60,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,309.471792606
"LINESTRING (-122.49418139919214 37.73849645393083, -122.49472054966158 37.73847287181471)",VICENTE,ST,13263000,SUNSET BLVD,37TH AV,BIKE ROUTE,2006,2W,156.13892012,,,,,,1,0,0,Vicente St,0.03,85,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,156.138920118
"LINESTRING (-122.4917678945623 37.742342876760766, -122.4916349388861 37.740474506558996)",34TH,AVE,1758000,TARAVAL ST,ULLOA ST,BIKE ROUTE,2011,2W,681.39470038,,,,,,1,0,0,34th Ave,0.13,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,681.394700371
"LINESTRING (-122.39627284207634 37.72098153024863, -122.39638853648584 37.72071853991225)",3RD,ST,230201,INGERSON AV,SALINAS AV,BIKE ROUTE,0,2W,101.43776818,,,,,,1,0,0,3rd St,0.02,5,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,101.437768176
"LINESTRING (-122.39424349308091 37.72547565032606, -122.3945837514767 37.72472107380479)",3RD,ST,225101,CARROLL AV,DONNER AV,BIKE ROUTE,2012,2W,291.84662223,,,,,,1,0,0,3rd St,0.06,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,291.846622236
"LINESTRING (-122.3945837514767 37.72472107380479, -122.39492615229572 37.72397256379846)",3RD,ST,225102,DONNER AV,EGBERT AV,BIKE ROUTE,2012,2W,289.97934044,,,,,,1,0,0,3rd St,0.05,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,289.979340439
"LINESTRING (-122.3956227605487 37.72243160405741, -122.39581586619268 37.722433283799994, -122.39662620107096 37.7226262150023)",PAUL,AVE,10306000,3RD ST,CARR ST,BIKE ROUTE,2012,2W,300.52596012,,,,,,1,0,0,Paul Ave,0.06,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,300.525960115
"LINESTRING (-122.39323278677526 37.72773346839447, -122.39357015659314 37.72697983313485)",3RD,ST,222101,YOSEMITE AV,ARMSTRONG AV,BIKE ROUTE,2012,2W,291.24214135,,,,,,1,0,0,3rd St,0.06,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,291.24214136
"LINESTRING (-122.3879004073283 37.7436101765275, -122.38845502995038 37.74298061729463)",PHELPS,ST,10395000,DAVISON AV,EVANS AV,BIKE ROUTE,2012,2W,279.76033149,,,,,,1,0,0,Phelps St,0.05,7,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.760331492
"LINESTRING (-122.39014260957019 37.74110511009418, -122.39070266376741 37.74048233488083)",PHELPS,ST,10399000,HUDSON AV,INNES AV,BIKE ROUTE,2004,2W,278.65272455,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,278.652724535
"LINESTRING (-122.39070266376741 37.74048233488083, -122.39126842415719 37.739853199939375)",PHELPS,ST,10400000,INNES AV,JERROLD AV,BIKE ROUTE,2004,2W,281.49689377,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,281.496893777
"LINESTRING (-122.39126842415719 37.739853199939375, -122.391830669245 37.73922797661475)",PHELPS,ST,10401000,JERROLD AV,KIRKWOOD AV,BIKE ROUTE,2004,2W,279.74786232,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.747862332
"LINESTRING (-122.391830669245 37.73922797661475, -122.39239296334242 37.738602684715836)",PHELPS,ST,10402000,KIRKWOOD AV,LA SALLE AV,BIKE ROUTE,2004,2W,279.77719367,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.77719366
"LINESTRING (-122.39239296334242 37.738602684715836, -122.392965086521 37.73796120564983)",PHELPS,ST,10403000,LA SALLE AV,MC KINNON AV,BIKE ROUTE,2004,2W,286.22844536,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,286.228445352
"LINESTRING (-122.38958103288029 37.7417295659852, -122.39014260957019 37.74110511009418)",PHELPS,ST,10398000,GALVEZ AV,HUDSON AV,BIKE ROUTE,2004,2W,279.40581134,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.405811342
"LINESTRING (-122.38901641930931 37.7423573841449, -122.38958103288029 37.7417295659852)",PHELPS,ST,10397000,FAIRFAX AV,GALVEZ AV,BIKE ROUTE,2004,2W,280.91165482,,,,,,1,0,0,Phelps St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,280.911654811
"LINESTRING (-122.38845502995038 37.74298061729463, -122.38901641930931 37.7423573841449)",PHELPS,ST,10396000,EVANS AV,FAIRFAX AV,BIKE ROUTE,2004,2W,279.01054562,,,,,,1,0,0,Phelps St,0.05,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.01054562
"LINESTRING (-122.38986446217041 37.73716953163574, -122.39014505087286 37.736390194654625)",3RD,ST,209101,LA SALLE AV,MC KINNON AV,BIKE ROUTE,2012,2W,295.14317228,,,,,,1,0,0,3rd St,0.06,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,295.143172276
"LINESTRING (-122.39207295421014 37.730855182103355, -122.39214661939242 37.73064213963725)",3RD,ST,217101,THOMAS AV,THORNTON AV,BIKE ROUTE,2012,2W,80.44477998,,,,,,1,0,0,3rd St,0.02,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,80.444779971
"LINESTRING (-122.3917971558648 37.73164354592833, -122.39207295421014 37.730855182103355)",3RD,ST,216101,SHAFTER AV,THOMAS AV,BIKE ROUTE,2012,2W,297.9322835,,,,,,1,0,0,3rd St,0.06,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,297.932283498
"LINESTRING (-122.39069377255741 37.734797359050276, -122.39096789023795 37.734013872317334)",3RD,ST,212101,OAKDALE AV,PALOU AV,BIKE ROUTE,2012,2W,296.09038836,,,,,,1,0,0,3rd St,0.06,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,296.090388368
"LINESTRING (-122.39014505087286 37.736390194654625, -122.39041626393221 37.7355905207579)",3RD,ST,210101,MC KINNON AV,NEWCOMB AV,BIKE ROUTE,2012,2W,301.55350165,,,,,,1,0,0,3rd St,0.06,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,301.553501661
"LINESTRING (-122.38903506836706 37.73291889505176, -122.39096789023795 37.734013872317334)",PALOU,AVE,10222000,LANE ST,3RD ST,BIKE ROUTE,2010,2W,686.56834486,,,,,,1,0,0,Palou Ave,0.13,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,686.568344856
"LINESTRING (-122.38716651243409 37.73185747048409, -122.38903506836706 37.73291889505176)",PALOU,AVE,10221000,KEITH ST,LANE ST,BIKE ROUTE,2010,2W,664.35066557,,,,,,1,0,0,Palou Ave,0.13,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,664.350665575
"LINESTRING (-122.39623174511944 37.73746823489531, -122.39651523609632 37.73715618450526)",QUINT,ST,10834000,DRUMMOND AL,PALOU AV,BIKE ROUTE,2005,2W,140.108663,,,,,,1,0,0,Quint St,0.03,70,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,140.108663003
"LINESTRING (-122.39594482661099 37.737784054523786, -122.39623174511944 37.73746823489531)",QUINT,ST,10833000,OAKDALE AV,DRUMMOND AL,BIKE ROUTE,2005,2W,141.80137884,,,,,,1,0,0,Quint St,0.03,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,141.801378843
"LINESTRING (-122.39214661939242 37.73064213963725, -122.39234874786219 37.73006681841365)",3RD,ST,218101,THORNTON AV,UNDERWOOD AV,BIKE ROUTE,2012,2W,217.48777713,,,,,,1,0,0,3rd St,0.04,5,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,217.487777131
"LINESTRING (-122.39234874786219 37.73006681841365, -122.3926245356639 37.72927845397663)",3RD,ST,219101,UNDERWOOD AV,VAN DYKE AV,BIKE ROUTE,2012,2W,297.93206344,,,,,,1,0,0,3rd St,0.06,805,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,297.932063432
"LINESTRING (-122.39268916199867 37.70909465727961, -122.39300770534845 37.70874423473274, -122.39342799455152 37.70840167451093)",HARNEY,WY,6692000,THOMAS MELLON CIR,COUNTY LINE,BIKE ROUTE,0,2W,331.57418729,,,,,,1,0,0,Harney Wy,0.06,805,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,331.574187287
"LINESTRING (-122.38645191082428 37.71116107850912, -122.38847615216191 37.710551129045626, -122.388987653567 37.71046231974384, -122.39088782406306 37.7103652339082)",HARNEY,WY,6690000,JAMESTOWN AV,EXECUTIVE PARK BLVD,BIKE ROUTE,0,2W,1328.51672764,,,,,,1,0,0,Harney Wy,0.25,805,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,1328.51672763
"LINESTRING (-122.38440201103782 37.71609096803944, -122.38626501343722 37.71717894847567)",GILMAN,AVE,6185000,EARL ST,FITCH ST,BIKE ROUTE,0,2W,668.81887668,,,,,,1,0,0,Gilman Ave,0.13,805,0,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,668.818876679
"LINESTRING (-122.38408586964918 37.71966724901432, -122.38415639539515 37.71952096347033, -122.38515706202266 37.718407364298294)",ARELIOUS WALKER,DR,5587000,CARROLL AV,EGBERT AV,BIKE ROUTE,2010,2W,555.22034796,,,,,,1,0,0,Arelious Walker Dr,0.11,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,555.220347967
"LINESTRING (-122.38998131653503 37.7287284634912, -122.39054746263427 37.72809908083783)",KEITH,ST,7788000,UNDERWOOD AV,VAN DYKE AV,BIKE ROUTE,2010,2W,281.64980314,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,281.649803137
"LINESTRING (-122.39110761627775 37.72747634690513, -122.39166981620076 37.72685132419023)",KEITH,ST,7790000,WALLACE AV,YOSEMITE AV,BIKE ROUTE,2010,2W,279.69618998,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.696189973
"LINESTRING (-122.39223549566306 37.726222420617376, -122.39279193460074 37.725603776965535)",KEITH,ST,7792000,ARMSTRONG AV,BANCROFT AV,BIKE ROUTE,2010,2W,276.83922758,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,276.839227575
"LINESTRING (-122.38941872073377 37.729353885794886, -122.38998131653503 37.7287284634912)",KEITH,ST,7787000,THOMAS AV,UNDERWOOD AV,BIKE ROUTE,2010,2W,279.87880153,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,279.878801524
"LINESTRING (-122.39054746263427 37.72809908083783, -122.39110761627775 37.72747634690513)",KEITH,ST,7789000,VAN DYKE AV,WALLACE AV,BIKE ROUTE,2010,2W,278.67328692,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,278.673286917
"LINESTRING (-122.39166981620076 37.72685132419023, -122.39223549566306 37.726222420617376)",KEITH,ST,7791000,YOSEMITE AV,ARMSTRONG AV,BIKE ROUTE,2010,2W,281.43175776,,,,,,1,0,0,Keith St,0.05,7,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,281.431757774
"LINESTRING (-122.4337845459187 37.78028669384257, -122.43397315720675 37.781218802391066)",STEINER,ST,12130000,TURK ST,EDDY ST,BIKE ROUTE,2010,2W,343.75007859,,,,,,1,0,0,Steiner St,0.07,45,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.750078594
"LINESTRING (-122.43359593825282 37.77935458575628, -122.4337845459187 37.78028669384257)",STEINER,ST,12129000,GOLDEN GATE AV,TURK ST,BIKE ROUTE,2010,2W,343.74979898,,,,,,1,0,0,Steiner St,0.07,45,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.749798976
"LINESTRING (-122.43340733529703 37.77842247631218, -122.43359593825282 37.77935458575628)",STEINER,ST,12128000,MC ALLISTER ST,GOLDEN GATE AV,BIKE ROUTE,2010,2W,343.75012391,,,,,,1,0,0,Steiner St,0.07,45,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.750123914
"LINESTRING (-122.43321873820953 37.777490366392776, -122.43340733529703 37.77842247631218)",STEINER,ST,12127000,FULTON ST,MC ALLISTER ST,BIKE ROUTE,2010,2W,343.75007859,,,,,,1,0,0,Steiner St,0.07,20,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,343.750078594
"LINESTRING (-122.4231655529281 37.77781524608973, -122.42480887691305 37.77760186206109)",GROVE,ST,6557000,GOUGH ST,OCTAVIA ST,BIKE ROUTE,2009,2W,481.25203655,,,,,,1,0,0,Grove St,0.09,20,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.252036548
"LINESTRING (-122.42152069825406 37.778020760770154, -122.4231655529281 37.77781524608973)",GROVE,ST,6556000,FRANKLIN ST,GOUGH ST,BIKE ROUTE,2009,2W,481.23341255,,,,,,1,0,0,Grove St,0.09,45,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,481.233412533
"LINESTRING (-122.42367777480477 37.772004659956764, -122.42386785042532 37.77294340351178)",OCTAVIA,ST,9875000,WALLER ST,HAIGHT ST,BIKE ROUTE,2006,2W,346.20304215,,,,,,1,0,0,Octavia St,0.07,32,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,346.203042147
