the_geom,STREETNAME,TYPE,CNN,FROM_ST,TO_ST,FACILITY_T,YEAR_INSTA,DIRECT,SHAPE_LENG,SURFACE_TR,BARRIER,INNOVATIVE,NOTES,DIR,DOUBLE,FY,QTR,STREET_,LENGTH,NUMBER_,SHARROW,UPDATE_YR,SM_SWEEPER,CONTRAFLOW,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,SHAPE_LEN
"LINESTRING (-122.42318100015694 37.755169794050026, -122.42375718834928 37.75513652045463)",22ND,ST,1195000,GUERRERO ST,AMES ST,BIKE ROUTE,2010,2W,167.01524515,,,,,,1,0,0,22nd St,0.03,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,167.015245138
"LINESTRING (-122.42375718834928 37.75513652045463, -122.4242897619405 37.75510576312031)",22ND,ST,1196000,AMES ST,FAIR OAKS ST,BIKE ROUTE,2010,2W,154.37314492,,,,,,1,0,0,22nd St,0.03,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,154.373144932
"LINESTRING (-122.4242897619405 37.75510576312031, -122.42482269211882 37.75507498312888)",22ND,ST,1197000,FAIR OAKS ST,QUANE ST,BIKE ROUTE,2010,2W,154.47662432,,,,,,1,0,0,22nd St,0.03,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,154.476624325
"LINESTRING (-122.42482269211882 37.75507498312888, -122.42545718011574 37.755029079094875)",22ND,ST,1198000,QUANE ST,DOLORES ST,BIKE ROUTE,2010,2W,184.18982862,,,,,,1,0,0,22nd St,0.03,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,184.189828615
"LINESTRING (-122.41874757422485 37.75543693665608, -122.41985794276884 37.755365728745176)",22ND,ST,1191000,MISSION ST,BARTLETT ST,BIKE ROUTE,2010,2W,322.05039892,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,322.050398923
"LINESTRING (-122.41985794276884 37.755365728745176, -122.42096409253337 37.75529478187754)",22ND,ST,1192000,BARTLETT ST,VALENCIA ST,BIKE ROUTE,2010,2W,320.82737111,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,320.827371112
"LINESTRING (-122.41656664078371 37.75556827813659, -122.41765899261661 37.75550249842027)",22ND,ST,1189000,SOUTH VAN NESS AV,CAPP ST,BIKE ROUTE,2010,2W,316.70281749,,,,,,1,0,0,22nd St,0.06,44,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,316.702817491
"LINESTRING (-122.41765899261661 37.75550249842027, -122.41874757422485 37.75543693665608)",22ND,ST,1190000,CAPP ST,MISSION ST,BIKE ROUTE,2010,2W,315.61025328,,,,,,1,0,0,22nd St,0.06,30,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,315.610253267
"LINESTRING (-122.41710413586179 37.77432528762037, -122.41723313659848 37.774268590342736, -122.41847156761098 37.77327456088749, -122.41861821634708 37.773053454117644)",MISSION,ST,9109201,11TH ST,12TH ST,BIKE ROUTE,2010,2W,642.6480517,,,,,,1,0,0,Mission St,0.12,345,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,642.648051713
"LINESTRING (-122.42913770293346 37.76946347221763, -122.42923694576074 37.77035490570174)",CHURCH,ST,13518000,DUBOCE AV,HERMANN ST,BIKE ROUTE,2010,2W,325.85461351,,,,,,1,0,0,Church St,0.06,47,1,0,0,0,,11/30/1899 12:00:00 AM +0000,JENWONG,02/22/2016 12:00:00 AM +0000,325.854613509
